"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000184203",2010.79359156208,0.45380948146485,0.0833507754247148,5.44457420044935,5.192945425398e-08,1.67297379018694e-05
"ENSG00000112237",825.846895155139,0.399987049222763,0.0734403496018541,5.44642082167681,5.13934647441263e-08,1.67297379018694e-05
"ENSG00000116161",1158.02942544507,0.320858477558816,0.0590490557799551,5.43376135859797,5.51783652863837e-08,1.69863532069394e-05
"ENSG00000140632",1723.54552120226,-0.337671221019005,0.0621422396809597,-5.43384375511119,5.51528785743225e-08,1.69863532069394e-05
"ENSG00000169246",147.260708461953,-0.900000744799123,0.166653041267655,-5.40044596818167,6.64754314387892e-08,1.95932798238627e-05
"ENSG00000128335",3128.59671714261,-0.498064519931006,0.0921896637377364,-5.40260697064601,6.56792651377771e-08,1.95932798238627e-05
"ENSG00000002834",11515.2561726563,-0.398535604562921,0.0739066012199486,-5.39242230036889,6.95141612619852e-08,2.00620765825475e-05
"ENSG00000166224",1234.86388860893,-0.277326661847803,0.0515512134482594,-5.37963402405937,7.46374123328214e-08,2.09947997041652e-05
"ENSG00000134049",283.428930325905,0.648048645127294,0.120524471387357,5.37690510207269,7.57770869276158e-08,2.09947997041652e-05
"ENSG00000185475",1009.82631822937,-0.299549717136474,0.0557787585207742,-5.37031882889451,7.85975595649207e-08,2.13492547578989e-05
"ENSG00000171204",717.619441559029,0.399457204365769,0.0745821260306591,5.35593748295082,8.51139367929466e-08,2.26746801229363e-05
"ENSG00000170270",198.369015516617,0.46215410870309,0.0864565096178007,5.34550967586061,9.0162981071647e-08,2.3566561826142e-05
"ENSG00000103313",5447.68072659761,-0.558664217451169,0.104660751256085,-5.33785789559471,9.40511248902899e-08,2.41275969093553e-05
"ENSG00000123106",413.221902701629,0.472336860638544,0.0891296582456127,5.2994353387616,1.16161364825423e-07,2.92578797623016e-05
"ENSG00000100461",3393.24190041085,-0.281150374434805,0.0531774385769064,-5.28702363180203,1.24322584004218e-07,3.01327991313057e-05
"ENSG00000189114",679.281859038029,-0.299421589444186,0.0566620880880099,-5.28433736820838,1.26160568080252e-07,3.01327991313057e-05
"ENSG00000132541",101.407033746551,0.489120040095068,0.0924668694245618,5.28967881295161,1.22531339408514e-07,3.01327991313057e-05
"ENSG00000104131",1024.63322575833,0.355550547956018,0.0673885086988546,5.2761302308217,1.31940340720066e-07,3.09791447456791e-05
"ENSG00000100288",179.585592277097,-0.693286220284949,0.131599058686435,-5.26817005535629,1.37790432948493e-07,3.18135144605912e-05
"ENSG00000183530",2085.94040864991,-0.305577933880265,0.0582412107526316,-5.24676478959458,1.5479331482977e-07,3.51533080383082e-05
"ENSG00000126524",746.528190692046,0.277574402807724,0.0530134015219548,5.23592893190924,1.64157113441246e-07,3.66785240726062e-05
"ENSG00000134287",3785.98301443908,-0.401540804519802,0.0767990416605684,-5.2284611348994,1.70926754751575e-07,3.75848941837075e-05
"ENSG00000204899",159.782324183831,0.654197558754607,0.125536504711134,5.21121374424079,1.8760914883794e-07,4.06085865445622e-05
"ENSG00000158769",2502.60757728133,-0.410153568639363,0.0788023161157128,-5.20484154345281,1.94162210275871e-07,4.07693015181793e-05
"ENSG00000254901",667.143399093471,-0.41700694063534,0.0801201565101497,-5.20476942131926,1.94237630852511e-07,4.07693015181793e-05
"ENSG00000112473",1423.76497373438,-0.232951475270153,0.0448303290985841,-5.19629188440445,2.03302964154929e-07,4.20351636184811e-05
"ENSG00000143393",3289.09155846205,-0.329731861162484,0.0635765362555394,-5.18637661915334,2.14424966726462e-07,4.29781118097325e-05
"ENSG00000143319",1087.2984287722,-0.240929401783978,0.0464755322689425,-5.18400521783761,2.17170853005217e-07,4.29781118097325e-05
"ENSG00000127314",3836.68241380963,0.351782488846291,0.0677901867673819,5.18928337007556,2.11104935337142e-07,4.29781118097325e-05
"ENSG00000138385",1558.22621341293,0.349038158993928,0.0674660276503336,5.17353950054597,2.29700534624908e-07,4.48174860022373e-05
"ENSG00000132906",523.967896899455,-0.29116704466326,0.0563629306564172,-5.1659316020699,2.39244274155479e-07,4.60312629149424e-05
"ENSG00000110958",4548.34481814075,0.283871337976595,0.0551069195368643,5.15128300333856,2.58710446527543e-07,4.79304257866758e-05
"ENSG00000137876",2014.49479300766,0.394562275686361,0.0765458938317151,5.15458447129509,2.54193957336278e-07,4.79304257866758e-05
"ENSG00000167261",7280.03670065952,-0.458035989655064,0.0889266756165653,-5.15071531100551,2.59494833898844e-07,4.79304257866758e-05
"ENSG00000166200",1113.28268069726,0.356615010626722,0.0693002052354528,5.14594450932859,2.66178103429775e-07,4.85179640370089e-05
